,0
0,TARA_007SRF
1,TARA_022SRF
2,TARA_036DCM
3,TARA_041DCM
4,TARA_041SRF
5,TARA_046SRF
6,TARA_052DCM
7,TARA_052SRF
8,TARA_064DCM
9,TARA_064SRF
10,TARA_065SRF
11,TARA_066DCM
12,TARA_066SRF
13,TARA_068DCM
14,TARA_068SRF
15,TARA_070SRF
16,TARA_076DCM
17,TARA_076SRF
18,TARA_078SRF
19,TARA_080DCM
20,TARA_080SRF
21,TARA_081DCM
22,TARA_082SRF
23,TARA_083SRF
24,TARA_084SRF
25,TARA_085DCM
26,TARA_085SRF
27,TARA_093DCM
28,TARA_093SRF
29,TARA_100SRF
30,TARA_102DCM
31,TARA_102SRF
32,TARA_109SRF
33,TARA_111DCM
34,TARA_111SRF
35,TARA_128DCM
36,TARA_128SRF
37,TARA_131DCM
38,TARA_131SRF
39,TARA_135DCM
40,TARA_135SRF
41,TARA_137DCM
42,TARA_137SRF
43,TARA_138DCM
44,TARA_138SRF
45,TARA_139SRF
46,TARA_142DCM
47,TARA_142SRF
48,TARA_143DCM
49,TARA_143SRF
50,TARA_145SRF
51,TARA_148SRF
52,TARA_149SRF
53,TARA_150SRF
54,TARA_151SRF
55,TARA_152MIX
56,TARA_152SRF
57,TARA_155DCM
58,TARA_201DCM
